Order ID,Site ID,Site,Status,Supplier,Created,Confirmed,Delivery,Delivered,Del. Note Ref.,Order (£),Confirmation (£),Delivery (£),Delivered (£),Order Sent,Delivery Note Received On,Invoice Gross (£),Invoice No.,Invoice Paid on,Document Type,Customer PO,Signed Amount (£)
BRAKES-9335129217,9999,The Vedanta,Invoice,Brakes,3/1/25 0:00,,3/1/25 0:00,3/1/25 0:00,EC21211513,679.95,,,679.95,3/1/25 0:00,,679.95,9335129217,,Invoice - Head Office,EC21211513,679.95
BRAKES-9335129215,9999,The Vedanta,Invoice,Brakes,3/1/25 0:00,,3/1/25 0:00,3/1/25 0:00,EC21302783,138.65,,,138.65,3/1/25 0:00,,138.65,9335129215,,Invoice - Head Office,EC21302783,138.65
BRAKES-9335125571,9999,The Vedanta,Invoice,Brakes,2/22/25 0:00,,2/22/25 0:00,2/22/25 0:00,EC21181310,286.38,,,286.38,2/22/25 0:00,,286.38,9335125571,,Invoice - Head Office,EC21181310,286.38
BRAKES-9335124368,9999,The Vedanta,Invoice,Brakes,2/20/25 0:00,,2/20/25 0:00,2/20/25 0:00,EC21154906,380.58,,,380.58,2/20/25 0:00,,380.58,9335124368,,Invoice - Head Office,EC21154906,380.58
BRAKES-9335123176,9999,The Vedanta,Invoice,Brakes,2/18/25 0:00,,2/18/25 0:00,2/18/25 0:00,EC21154904,61.7,,,61.7,2/18/25 0:00,,61.7,9335123176,,Invoice - Head Office,EC21154904,61.7
BRAKES-9335123177,9999,The Vedanta,Invoice,Brakes,2/18/25 0:00,,2/18/25 0:00,2/18/25 0:00,EC21100857,299.75,,,299.75,2/18/25 0:00,,299.75,9335123177,,Invoice - Head Office,EC21100857,299.75
BRAKES-9335121044,9999,The Vedanta,Invoice,Brakes,2/13/25 0:00,,2/13/25 0:00,2/13/25 0:00,EC21071741,249.73,,,249.73,2/13/25 0:00,,249.73,9335121044,,Invoice - Head Office,EC21071741,249.73
BRAKES-9335119526,9999,The Vedanta,Invoice,Brakes,2/11/25 0:00,,2/11/25 0:00,2/11/25 0:00,EC21045930,528.41,,,528.41,2/11/25 0:00,,528.41,9335119526,,Invoice - Head Office,EC21045930,528.41
BRAKES-5508535406,9999,The Vedanta,Credit,Brakes,2/9/25 0:00,,2/9/25 0:00,,,,,,,2/9/25 0:00,,43.98,5508535406,,Credits - Head Office,,-43.98
BRAKES-9335118694,9999,The Vedanta,Invoice,Brakes,2/8/25 0:00,,2/8/25 0:00,2/8/25 0:00,EC21018904,304.71,,,304.71,2/8/25 0:00,,304.71,9335118694,,Invoice - Head Office,EC21018904,304.71
