Document Date,Document Number,Type,Is Credit,Brakes Code,Product / Ingredient,Qty Case,Unit Price,Net Value,Category,Subcategory,PO,Source
2026-01-29,9335326403,INVOICE,No,118561,Alpro Simply Plain                1x500g,6,1.65,9.9,Alpro yoghurt,Alpro yoghurt,EC25944031,Invoice CSV
2026-01-29,9335326403,INVOICE,No,74858,Alpro Soya Alt Yogrt Dry Fre    6x4x125g,1,9.96,9.96,Alpro yoghurt,Alpro yoghurt,EC25944031,Invoice CSV
2026-02-12,9335336483,INVOICE,No,118561,Alpro Simply Plain                1x500g,1,1.65,1.65,Alpro yoghurt,Alpro yoghurt,EC26263213,Invoice CSV
2026-03-07,9335351064,INVOICE,No,118561,Alpro Simply Plain                1x500g,2,1.65,3.3,Alpro yoghurt,Alpro yoghurt,EC26589563,Invoice CSV
2026-03-07,9335351064,INVOICE,No,74858,Alpro Soya Alt Yogrt Dry Fre    6x4x125g,1,9.96,9.96,Alpro yoghurt,Alpro yoghurt,EC26589563,Invoice CSV
2026-03-12,9335354216,INVOICE,No,118561,Alpro Simply Plain                1x500g,4,1.65,6.6,Alpro yoghurt,Alpro yoghurt,EC26733841,Invoice CSV
2026-03-26,9335364151,INVOICE,No,118561,Alpro Simply Plain                1x500g,4,1.65,6.6,Alpro yoghurt,Alpro yoghurt,EC26954921,Invoice CSV
2026-03-26,9335364151,INVOICE,No,74858,Alpro Soya Alt Yogrt Dry Fre    6x4x125g,1,9.96,9.96,Alpro yoghurt,Alpro yoghurt,EC26954921,Invoice CSV
2026-04-14,9335373564,INVOICE,No,118561,Alpro Simply Plain                1x500g,3,1.65,4.95,Alpro yoghurt,Alpro yoghurt,EC27274090,Invoice CSV
2026-04-23,9335380371,INVOICE,No,118561,Alpro Simply Plain                1x500g,3,1.65,4.95,Alpro yoghurt,Alpro yoghurt,EC27381722,Invoice CSV
2026-04-23,9335380371,INVOICE,No,74858,Alpro Soya Alt Yogrt Dry Fre    6x4x125g,1,9.96,9.96,Alpro yoghurt,Alpro yoghurt,EC27381722,Invoice CSV
2026-05-09,9335392154,INVOICE,No,118561,Alpro Simply Plain                1x500g,6,1.65,9.9,Alpro yoghurt,Alpro yoghurt,EC27634266,Invoice CSV
2026-05-09,9335392154,INVOICE,No,74858,Alpro Soya Alt Yogrt Dry Fre    6x4x125g,1,9.96,9.96,Alpro yoghurt,Alpro yoghurt,EC27634266,Invoice CSV
2026-05-23,9335402183,INVOICE,No,118561,Alpro Simply Plain                1x500g,6,1.65,9.9,Alpro yoghurt,Alpro yoghurt,EC28076920,Invoice CSV
2026-05-23,9335402183,INVOICE,No,74858,Alpro Soya Alt Yogrt Dry Fre    6x4x125g,1,9.96,9.96,Alpro yoghurt,Alpro yoghurt,EC28076920,Invoice CSV
2026-06-04,9335408810,INVOICE,No,118561,Alpro Simply Plain                1x500g,2,1.65,3.3,Alpro yoghurt,Alpro yoghurt,EC28332128,Invoice CSV
2026-06-04,9335408810,INVOICE,No,74858,Alpro Soya Alt Yogrt Dry Fre    6x4x125g,1,9.96,9.96,Alpro yoghurt,Alpro yoghurt,EC28332128,Invoice CSV
