Metric,Value
Food invoice lines,5070
Food credit lines,113
All food purchase lines (invoice + credit),5189
Unique food products bought,968
Food products with a real price change,453
Total real price-change events,971
Food products ending HIGHER than first price,333
Food products ending LOWER than first price,114
Food invoice spend £,128986.79
Food credits £,-3492.73
Food net spend £,132479.52

Brakes Code,Product,Category,Times ordered,First £,Last £,Times changed,Change %,Direction,Net spend £,Price history
5010628,Global Hacienda Avocado Slices    1x500g,Other food,14,2.99,2.99,2,0.0,SAME,352.82,£2.99 (2026-01-15) → £3.38 (2026-01-29) → £2.99 (2026-06-02)
74048,Sysco Classc Mat White Cheddar Grt 5x1kg,Other food,7,37.79,36.29,3,-3.97,DOWN,351.55,£37.79 (2024-07-23) → £40.50 (2025-05-15) → £41.55 (2025-12-20) → £36.29 (2026-07-11)
152151,Sysco Classic Sweetcorn in Water 12x340g,Other food,15,11.3,11.44,1,1.24,UP,350.58,£11.30 (2025-10-11) → £11.44 (2026-06-30)
34503,McCain MS Sweet Potato Fries     4x2.5kg,Other food,3,34.99,34.99,0,0.0,SAME,349.9,£34.99 (2025-11-20)
15514,Migi EWide Cling Film45cmx300 32C13  1x1,Other food,16,7.39,7.49,5,1.35,UP,347.62,£7.39 (2024-08-22) → £7.49 (2025-04-24) → £5.49 (2025-06-12) → £7.49 (2025-07-19) → £6.49 (2025-08-28) → £7.49 (2025-11-18)
125279,Walkers Shortbread Gluten Free    60x30g,Biscuits,11,22.74,25.12,3,10.47,UP,345.84,£22.74 (2025-01-11) → £24.18 (2025-05-24) → £24.33 (2025-12-20) → £25.12 (2026-03-31)
13381,Sysco Classic Red Kidney Beans   1x2.5kg,Other food,15,2.77,4.27,4,54.15,UP,344.04,£2.77 (2024-07-23) → £2.87 (2024-10-03) → £3.19 (2025-04-24) → £3.88 (2025-12-18) → £4.27 (2026-05-23)
135584,Northwood Blue CFeed 2ply CL2B806EDS 1x6,Other food,20,8.78,9.11,4,3.76,UP,343.94,£8.78 (2024-07-20) → £8.52 (2024-10-22) → £8.74 (2025-04-10) → £8.81 (2026-01-08) → £9.11 (2026-06-04)
4301,Brakes Puff Pastry Squares 13cm     1x96,Other food,13,20.58,22.1,3,7.39,UP,343.0,£20.58 (2024-08-13) → £21.52 (2025-05-24) → £21.66 (2025-11-18) → £22.10 (2026-05-12)
135231,Bridor Vegan RTB Vanilla HNut Crown 1x48,Other food,10,26.7,40.89,3,53.15,UP,341.52,£26.70 (2024-07-20) → £28.14 (2024-10-01) → £40.38 (2025-03-13) → £40.89 (2025-05-13)
