Document Date,Document Number,Type,Brakes Code,Product / Ingredient,Qty Case,Qty Split,Unit Price,VAT Rate,Net Value,Category,Subcategory,PO,Source,Credit Ref Invoice
2024-09-26,9335052575,INVOICE,78224,Wholesome Farms Skimmed Milk     6x2.27L,1,,11.37,0.00%,11.37,Yoghurt & milk,Dairy milk,,Invoice CSV,
2024-09-28,9335054103,INVOICE,70325,Brakes Whole Milk (Blue)     RT  6x2.27L,1,,10.58,0.00%,10.58,Yoghurt & milk,Dairy milk,,Invoice CSV,
2024-10-01,9335054765,INVOICE,70325,Brakes Whole Milk (Blue)     RT  6x2.27L,2,,10.58,0.00%,21.16,Yoghurt & milk,Dairy milk,,Invoice CSV,
2024-10-01,9335054765,INVOICE,114931,Wholesome Farms Greek Style Yogurt 1x5kg,1,,14.19,0.00%,14.19,Yoghurt & milk,Dairy yoghurt,,Invoice CSV,
2024-10-05,9335058099,INVOICE,70325,Brakes Whole Milk (Blue)     RT  6x2.27L,2,,10.58,0.00%,21.16,Yoghurt & milk,Dairy milk,,Invoice CSV,
2024-10-05,9335058099,INVOICE,31526,Ubley Fruit N Crm Yogurt Mixd    12x150g,2,,6.18,0.00%,12.36,Yoghurt & milk,Dairy yoghurt,,Invoice CSV,
2024-10-05,9335058099,INVOICE,114931,Wholesome Farms Greek Style Yogurt 1x5kg,2,,14.19,0.00%,28.38,Yoghurt & milk,Dairy yoghurt,,Invoice CSV,
2024-10-12,9335061377,INVOICE,70325,Brakes Whole Milk (Blue)     RT  6x2.27L,3,,10.58,0.00%,31.74,Yoghurt & milk,Dairy milk,,Invoice CSV,
2024-10-17,9335064139,INVOICE,134428,Arla Lactofree Whole Milk         1x1ltr,2,,1.49,0.00%,2.98,Yoghurt & milk,Dairy milk,,Invoice CSV,
2024-10-17,9335064139,INVOICE,70325,Brakes Whole Milk (Blue)     RT  6x2.27L,2,,10.58,0.00%,21.16,Yoghurt & milk,Dairy milk,,Invoice CSV,
2024-10-17,9335064139,INVOICE,148660,Ubley Low Fat Natural Yogurt      1x5kg,2,,12.02,0.00%,24.04,Yoghurt & milk,Dairy yoghurt,,Invoice CSV,
2024-10-17,9335064139,INVOICE,71954,Ubley Yogurt Mixed Low Fat       12x115g,2,,4.53,0.00%,9.06,Yoghurt & milk,Dairy yoghurt,,Invoice CSV,
