Document Date,Document Number,Type,Brakes Code,Product / Ingredient,Qty Case,Qty Split,Unit Price,VAT Rate,Net Value,Category,Subcategory,PO,Source,Credit Ref Invoice
2025-02-08,9335118694,INVOICE,74858,Alpro Soya Alt Yogrt Dry Fre    6x4x125g,1,,9.79,0.00%,9.79,Alpro yoghurt,Alpro yoghurt,,Invoice CSV,
2025-02-11,9335119526,INVOICE,118561,Alpro Simply Plain                1x500g,6,,1.5,0.00%,9,Alpro yoghurt,Alpro yoghurt,,Invoice CSV,
2025-03-01,9335129217,INVOICE,118561,Alpro Simply Plain                1x500g,2,,1.5,0.00%,3,Alpro yoghurt,Alpro yoghurt,,Invoice CSV,
2025-03-03,9335129714,INVOICE,74858,Alpro Soya Alt Yogrt Dry Fre    6x4x125g,1,,9.79,0.00%,9.79,Alpro yoghurt,Alpro yoghurt,,Invoice CSV,
2025-03-13,9335135935,INVOICE,118561,Alpro Simply Plain                1x500g,4,,1.5,0.00%,6,Alpro yoghurt,Alpro yoghurt,,Invoice CSV,
2025-03-13,9335135935,INVOICE,74858,Alpro Soya Alt Yogrt Dry Fre    6x4x125g,1,,9.79,0.00%,9.79,Alpro yoghurt,Alpro yoghurt,,Invoice CSV,
2025-04-10,9335152827,INVOICE,118561,Alpro Simply Plain                1x500g,5,,1.65,0.00%,8.25,Alpro yoghurt,Alpro yoghurt,,Invoice CSV,
2025-04-12,9335153976,INVOICE,74858,Alpro Soya Alt Yogrt Dry Fre    6x4x125g,1,,9.9,0.00%,9.9,Alpro yoghurt,Alpro yoghurt,,Invoice CSV,
2025-04-24,9335159052,INVOICE,118561,Alpro Simply Plain                1x500g,3,,1.65,0.00%,4.95,Alpro yoghurt,Alpro yoghurt,,Invoice CSV,
2025-04-24,9335159052,INVOICE,74858,Alpro Soya Alt Yogrt Dry Fre    6x4x125g,1,,9.9,0.00%,9.9,Alpro yoghurt,Alpro yoghurt,,Invoice CSV,
2025-05-10,9335169617,INVOICE,118561,Alpro Simply Plain                1x500g,3,,1.65,0.00%,4.95,Alpro yoghurt,Alpro yoghurt,,Invoice CSV,
2025-05-10,9335169617,INVOICE,74858,Alpro Soya Alt Yogrt Dry Fre    6x4x125g,1,,9.9,0.00%,9.9,Alpro yoghurt,Alpro yoghurt,,Invoice CSV,
2025-05-15,9335172508,INVOICE,118561,Alpro Simply Plain                1x500g,6,,1.65,0.00%,9.9,Alpro yoghurt,Alpro yoghurt,,Invoice CSV,
2025-05-20,9335175350,INVOICE,74858,Alpro Soya Alt Yogrt Dry Fre    6x4x125g,1,,9.9,0.00%,9.9,Alpro yoghurt,Alpro yoghurt,,Invoice CSV,
2025-05-22,9335177241,INVOICE,74858,Alpro Soya Alt Yogrt Dry Fre    6x4x125g,1,,9.9,0.00%,9.9,Alpro yoghurt,Alpro yoghurt,,Invoice CSV,
2025-06-05,9335184671,INVOICE,118561,Alpro Simply Plain                1x500g,12,,1.65,0.00%,19.8,Alpro yoghurt,Alpro yoghurt,,Invoice CSV,
2025-06-07,9335186247,INVOICE,118561,Alpro Simply Plain                1x500g,2,,1.65,0.00%,3.3,Alpro yoghurt,Alpro yoghurt,,Invoice CSV,
2025-06-07,9335186247,INVOICE,74858,Alpro Soya Alt Yogrt Dry Fre    6x4x125g,1,,9.9,0.00%,9.9,Alpro yoghurt,Alpro yoghurt,,Invoice CSV,
2025-06-19,9335193335,INVOICE,118561,Alpro Simply Plain                1x500g,6,,1.65,0.00%,9.9,Alpro yoghurt,Alpro yoghurt,,Invoice CSV,
